Protein	Gene	Protein Description	LFQ intensity B73_TMT1_1	LFQ intensity Y12_TMT1_1
Zm00001d000316			0.037394	0.1681
Zm00001d003550			0.0	0.0
Zm00001d000320			0.066855	0.0
Zm00001d028367			0.077098	0.0
Zm00001d000345			0.079004	0.1933
Zm00001d000349			0.0	0.0
Zm00001d000350			0.0	0.0
Zm00001d043215			0.0	0.0
Zm00001d000379			0.055464	0.26107
Zm00001d000396			0.0	0.0
Zm00001d000399			0.043689	0.14573
Zm00001d000403			0.084047	0.18988
Zm00001d000406			0.063553	0.0
Zm00001d000417			0.046053	0.03805
Zm00001d000418			0.037209	0.0
Zm00001d000428			0.080415	0.24069
Zm00001d000430			0.063871	0.0
Zm00001d000432			0.077229	0.2994
Zm00001d000436			0.059094	0.0
Zm00001d021562			0.061753	0.0
Zm00001d000443			0.072539	0.19167
Zm00001d001765			0.071239	0.22332
Zm00001d001771			0.047942	0.0
Zm00001d001780			0.0	0.21675
Zm00001d001785			0.05894	0.12715
Zm00001d001786			0.0	0.0
Zm00001d001787			0.0	0.0
Zm00001d001788			0.06475	0.17354
Zm00001d001789			0.12244	0.24274
Zm00001d001790			0.075545	0.1943
Zm00001d001791			0.0	0.14369
Zm00001d001797			0.0	0.0
Zm00001d001798			0.0	0.0
Zm00001d001799			0.062823	0.21701
Zm00001d001800			0.04663	0.0
Zm00001d001803			0.0	0.0
Zm00001d001807			0.081468	0.17359
Zm00001d001808			0.0	0.0
Zm00001d001809			0.08315	0.0
Zm00001d001812			0.036863	0.12541
Zm00001d001813			0.057801	0.0
Zm00001d001814			0.076166	0.0
Zm00001d001819			0.0	0.0
Zm00001d001820			0.039184	0.10875
Zm00001d001825			0.0	0.0
Zm00001d001828			0.073936	0.21407
Zm00001d001830			0.0	0.0
Zm00001d001831			0.081728	0.24287
Zm00001d001835			0.0	0.19869
Zm00001d001837			0.085784	0.20161
Zm00001d001841			0.0	0.13027
Zm00001d001843			0.041618	0.0
Zm00001d001846			0.074247	0.19668
Zm00001d001848			0.065264	0.23494
Zm00001d001849			0.077015	0.25874
Zm00001d001850			0.0	0.10364
Zm00001d001856			0.075404	0.24403
Zm00001d001857			0.022482	0.0
Zm00001d001859			0.0	0.0
Zm00001d001860			0.052794	0.21874
Zm00001d001868			0.085181	0.0
Zm00001d001870			0.0	0.0
Zm00001d001879			0.0	0.19543
Zm00001d001881			0.070774	0.24755
Zm00001d003502			0.075319	0.19118
Zm00001d001884			0.05965	0.0
Zm00001d001894			0.03265	0.0
Zm00001d001895			0.064206	0.0
Zm00001d001897			0.0	0.0
Zm00001d001898			0.0	0.0
Zm00001d001900			0.072985	0.0
Zm00001d001901			0.085904	0.0
Zm00001d001909			0.027426	0.15603
Zm00001d001928			0.0	0.0
Zm00001d001932			0.043775	0.085376
Zm00001d001933			0.076262	0.26828
Zm00001d001935			0.075364	0.23025
Zm00001d001937			0.0	0.0
Zm00001d001939			0.046572	0.0
Zm00001d001940			0.033942	0.0
Zm00001d001941			0.069126	0.19574
Zm00001d001943			0.075549	0.35436
Zm00001d001947			0.060795	0.17491
Zm00001d001952			0.0	0.0
Zm00001d001953			0.074419	0.23914
Zm00001d001960			0.0	0.18955
Zm00001d001962			0.063033	0.098223
Zm00001d001966			0.080859	0.24182
Zm00001d001967			0.059894	0.0
Zm00001d001968			0.062049	0.17192
Zm00001d001972			0.04488	0.20358
Zm00001d001973			0.064902	0.0
Zm00001d001978			0.041379	0.1674
Zm00001d001979			0.091367	0.22069
Zm00001d001980			0.13362	0.0
Zm00001d001983			0.040285	0.0
Zm00001d025192			0.0	0.20152
Zm00001d001988			0.074424	0.204
Zm00001d001994			0.067665	0.0
Zm00001d001995			0.05033	0.22113
Zm00001d001999			0.07868	0.20733
Zm00001d002000			0.046425	0.06212
Zm00001d002001			0.0	0.0
Zm00001d002003			0.075747	0.20159
Zm00001d002004			0.060591	0.0
Zm00001d002006			0.075137	0.0
Zm00001d002012			0.060257	0.0
Zm00001d002014			0.0	0.0
Zm00001d026489			0.075971	0.0
Zm00001d002024			0.062811	0.27297
Zm00001d002027			0.066304	0.16108
Zm00001d002028			0.060718	0.0
Zm00001d002034			0.077181	0.26248
Zm00001d002035			0.11761	0.0
Zm00001d002038			0.02989	0.0
Zm00001d002042			0.0	0.0
Zm00001d002046			0.065092	0.0
Zm00001d002051			0.082485	0.26351
Zm00001d002052			0.053413	0.21094
Zm00001d002053			0.085815	0.0
Zm00001d002054			0.0	0.0
Zm00001d002063			0.086187	0.17634
Zm00001d002064			0.086546	0.0
Zm00001d002065			0.056241	0.22976
Zm00001d002066			0.073613	0.0
Zm00001d002068			0.03196	0.17423
Zm00001d002079			0.080969	0.0
Zm00001d026446			0.0	0.0
Zm00001d002084			0.0	0.0
Zm00001d002085			0.077447	0.19223
Zm00001d002089			0.053071	0.0
Zm00001d002090			0.0	0.19207
Zm00001d002093			0.0	0.0
Zm00001d002094			0.035794	0.057709
Zm00001d002095			0.066236	0.2388
Zm00001d002104			0.056927	0.15371
Zm00001d002105			0.071038	0.0
Zm00001d002115			0.0	0.23522
Zm00001d002119			0.0	0.1714
Zm00001d026425			0.06421	0.0
Zm00001d002124			0.047741	0.0
Zm00001d002125			0.05205	0.0
Zm00001d002128			0.07252	0.0
Zm00001d002129			0.052903	0.12482
Zm00001d002130			0.045358	0.0
Zm00001d002135			0.065953	0.0
Zm00001d002139			0.073072	0.0
Zm00001d002140			0.047548	0.0
Zm00001d002141			0.068367	0.21357
Zm00001d002145			0.07039	0.20003
Zm00001d014147			0.07462	0.0
Zm00001d050146			0.089257	0.24018
Zm00001d026394			0.0	0.0
Zm00001d002153			0.063584	0.17826
Zm00001d002155			0.069021	0.0
Zm00001d002163			0.075095	0.26584
Zm00001d002166			0.083362	0.24186
Zm00001d002167			0.0	0.0
Zm00001d002169			0.0	0.0
Zm00001d002175			0.076762	0.072079
Zm00001d002176			0.0	0.0
Zm00001d002184			0.0	0.0
Zm00001d002185			0.065842	0.23006
Zm00001d002186			0.0	0.24884
Zm00001d002190			0.0	0.2156
Zm00001d002193			0.049904	0.0
Zm00001d026352			0.0	0.27946
Zm00001d002234			0.03585	0.12876
Zm00001d002235			0.0	0.0
Zm00001d002240			0.051376	0.14698
Zm00001d002241			0.045391	0.16494
Zm00001d002244			0.068718	0.20536
Zm00001d002246			0.088917	0.23064
Zm00001d002250			0.0	0.0
Zm00001d026343			0.077088	0.22839
Zm00001d002256			0.030327	0.0
Zm00001d002258			0.078814	0.22685
Zm00001d002259			0.051787	0.0
Zm00001d002260			0.0	0.0
Zm00001d002261			0.072446	0.25562
Zm00001d002267			0.048446	0.0
Zm00001d002272			0.078062	0.25501
Zm00001d002274			0.0	0.0
Zm00001d002275			0.0951	0.22347
Zm00001d002283			0.0	0.0
Zm00001d002287			0.0	0.0
Zm00001d002292			0.070788	0.26217
Zm00001d002295			0.029906	0.0
Zm00001d002296			0.076189	0.0
